resume_text,category
"ML Intern with 2 years of experience. Education: M.Tech in Data Science. Skills: statistics, Tableau, NLP, Python, A/B testing, SQL. Experience: designed dashboards; built predictive models; ran statistical experiments. Looking for opportunities as a ml intern to apply skills in statistics, Tableau, NLP.",Data Scientist
"Full Stack Developer with 2 years of experience. Education: Diploma in Engineering. Skills: responsive design, JavaScript, React, Redux, Express.js, REST APIs. Experience: built responsive websites; integrated third-party APIs; developed REST APIs. Looking for opportunities as a full stack developer to apply skills in responsive design, JavaScript, React.",Web Developer
"Data Analyst with 3 years of experience. Education: B.Tech in Computer Engineering. Skills: Power BI, scikit-learn, machine learning, pandas, A/B testing, NLP. Experience: ran statistical experiments; cleaned and preprocessed data; built predictive models. Looking for opportunities as a data analyst to apply skills in Power BI, scikit-learn, machine learning.",Data Scientist
"Product Analyst with 0 years of experience. Education: B.Sc in Computer Science. Skills: Power BI, JIRA, requirements gathering, Excel, stakeholder management, SWOT analysis. Experience: coordinated with cross-functional teams; created process flow diagrams; analyzed KPIs. Looking for opportunities as a product analyst to apply skills in Power BI, JIRA, requirements gathering.",Business Analyst
"HR Executive with 3 years of experience. Education: B.Tech in Computer Engineering. Skills: recruitment, training and development, payroll, employee engagement, onboarding, conflict resolution. Experience: handled payroll processing; resolved workplace conflicts; conducted employee onboarding. Looking for opportunities as a hr executive to apply skills in recruitment, training and development, payroll.",HR
"Business Analyst with 5 years of experience. Education: B.Tech in Computer Engineering. Skills: requirements gathering, SWOT analysis, Power BI, process improvement, JIRA, business process modeling. Experience: coordinated with cross-functional teams; gathered business requirements; analyzed KPIs. Looking for opportunities as a business analyst to apply skills in requirements gathering, SWOT analysis, Power BI.",Business Analyst
"Backend Engineer with 3 years of experience. Education: B.Tech in Computer Engineering. Skills: unit testing, Git, Java, Python, Algorithms, Kubernetes. Experience: wrote unit tests; reviewed pull requests; designed scalable systems. Looking for opportunities as a backend engineer to apply skills in unit testing, Git, Java.",Software Engineer
"Mechanical Intern with 1 years of experience. Education: B.Tech in Mechanical Engineering. Skills: SolidWorks, finite element analysis, manufacturing processes, CNC machining, thermodynamics, AutoCAD. Experience: reduced material waste; designed mechanical components; created CAD models. Looking for opportunities as a mechanical intern to apply skills in SolidWorks, finite element analysis, manufacturing processes.",Mechanical Engineer
"Frontend Developer with 5 years of experience. Education: M.Tech in Data Science. Skills: Express.js, MongoDB, React, JavaScript, HTML, Redux. Experience: built responsive websites; implemented UI components; developed REST APIs. Looking for opportunities as a frontend developer to apply skills in Express.js, MongoDB, React.",Web Developer
"Full Stack Developer with 2 years of experience. Education: MBA. Skills: Redux, HTML, CSS, MongoDB, JavaScript, Git. Experience: implemented UI components; developed REST APIs; built responsive websites. Looking for opportunities as a full stack developer to apply skills in Redux, HTML, CSS.",Web Developer
"SDE Intern with 5 years of experience. Education: MBA. Skills: C++, OOP, Git, system design, unit testing, Python. Experience: built microservices; designed scalable systems; wrote unit tests. Looking for opportunities as a sde intern to apply skills in C++, OOP, Git.",Software Engineer
"Mechanical Design Engineer with 5 years of experience. Education: B.Tech in Computer Engineering. Skills: quality control, AutoCAD, GD&T, finite element analysis, CNC machining, manufacturing processes. Experience: created CAD models; performed stress analysis; supervised production lines. Looking for opportunities as a mechanical design engineer to apply skills in quality control, AutoCAD, GD&T.",Mechanical Engineer
"Mechanical Intern with 0 years of experience. Education: MBA. Skills: quality control, thermodynamics, SolidWorks, finite element analysis, manufacturing processes, CATIA. Experience: designed mechanical components; performed stress analysis; supervised production lines. Looking for opportunities as a mechanical intern to apply skills in quality control, thermodynamics, SolidWorks.",Mechanical Engineer
"ML Intern with 2 years of experience. Education: M.Tech in Data Science. Skills: SQL, TensorFlow, NumPy, scikit-learn, NLP, pandas. Experience: built predictive models; designed dashboards; cleaned and preprocessed data. Looking for opportunities as a ml intern to apply skills in SQL, TensorFlow, NumPy.",Data Scientist
